search_name,.,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,class,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,recordedBy,recordNumber,year,month,day,continentOcean,country,locality,decimalLongitude,decimalLatitude,barcode,identifiedBy,yearIdentified,fieldNumber,stateProvince,county,minimumElevationInMeters,individualCount,maximumElevationInMeters,phylum,typeStatus,preparationType,occurrenceRemarks,verbatimLongitude,verbatimLatitude,monthIdentified,dayIdentified,datecollected
Acacia retinodes,,4,2008-05-27 22:02:00-03,MO,MO,2876607,PreservedSpecimen,Plantae,NA,NA,Fabaceae,Acacia,retinodes,Acacia retinodes,Schltdl.,Gwilym P. Lewis,Lewis 3182,1997,4,18,South America,Ecuador,"Loja-Zamora, km 2. Vegetation: bosque humedo with pastureland and secondary scrub.",-79.2,-4,NA,NA,NA,NA,Loja,Loja,2150.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997-04-18
Acacia retinodes,,5,2017-03-09 16:55:00-03,MO,MO,3313526,PreservedSpecimen,Plantae,NA,NA,Fabaceae,Acacia,retinodes,Acacia retinodes,Schltdl.,Jürgen Homeier,Homeier 136,1999,6,13,South America,Ecuador,Road Loja-Zamora.,-79.15,-3.98333,NA,Seigler & Ebinger (ILL),2013,NA,Loja,NA,2310.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999-06-13
Acacia retinodes,,6,2008-05-27 22:02:00-03,MO,MO,86760,PreservedSpecimen,Plantae,NA,NA,Fabaceae,Acacia,retinodes,Acacia retinodes,Schltdl.,James C. Solomon,Solomon 8205,1982,9,10,South America,Bolivia,Calacoto (La Paz). Cultivated garden plants.,-68.08333,-16.53333,NA,J. Solomon,1986,82-9,La Paz,Murillo,3300.00000000,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982-09-10
Acacia retinodes,,7,2008-05-27 22:02:00-03,MO,MO,88437,PreservedSpecimen,Plantae,NA,NA,Fabaceae,Acacia,retinodes,Acacia retinodes,Schltdl.,James C. Solomon,Solomon 5927,1981,8,7,South America,Bolivia,Calacoto (La Paz). Cultivated garden plants.,-68.13333,-16.51666,NA,J.C. Solomon,1986,180,La Paz,Murillo,3300.00000000,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1981-08-07
Acacia retinodes,,8,2008-05-27 22:02:00-03,MO,MO,88977,PreservedSpecimen,Plantae,NA,NA,Fabaceae,Acacia,retinodes,Acacia retinodes,Schltdl.,James C. Solomon,Solomon 12753,1984,11,11,South America,Bolivia,Calacoto (La Paz). Cultivated plants.,-68.08333,-16.53333,NA,R.E. Gereau,1988,84-115,La Paz,Murillo,3300.00000000,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984-11-11
Acacia retinodes,,9,2018-05-14 17:31:54-03,F,F-SEEDPLANTS,V0359488F,PreservedSpecimen,Plantae,Dicotyledoneae,NA,Fabaceae,Acacia,retinodes,Acacia retinodes,NA,M. Nee,32060,1985,10,10,South America,Bolivia,NA,-68,-15.5,V0359488F,RRC ID Flag,1986,32060,La Paz,NA,NA,NA,NA,Spermatophyta,NA,NA,NA,NA,NA,NA,NA,1985-10-10
Acacia saligna,,1,2009-10-08 15:47:00-03,MO,MO,84396,PreservedSpecimen,Plantae,NA,NA,Fabaceae,Acacia,saligna,Acacia saligna,(Labill.) H.L. Wendl.,David N. Smith,Smith 12929,1989,4,24,South America,Bolivia,En el terreno de la Escuela Tecnica Superior Forestal en la ciudad de Cochabamba.,-66.15,-17.3833333,NA,R.E. Gereau (MO),1990,10,Cochabamba,Cercado,2600.00000000,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989-04-24
Acalypha apodanthes,,1,2014-06-09 13:19:00-03,MO,MO,886693,PreservedSpecimen,Plantae,NA,NA,Euphorbiaceae,Acalypha,apodanthes,Acalypha apodanthes,Standl. & L.O. Williams,Thomas B. Croat,Croat 43600,1990,3,10,South America,Colombia,"Reserva Natural La Planada: 7 km above Chucunés (on road between Tuquerres and Ricaurte); along trail to Pialapí, 150-200 m past entrance to La Planada Field Station.",-77.9855555,1.1713889,NA,J. Gonzalez (INB),1995,70,Nariño,Ricaurte,1925.00000000,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1990-03-10
Acalypha benensis,,1,2022-12-05 17:19:00-03,NY,NY,164654,PreservedSpecimen,Plantae,NA,Malpighiales,Euphorbiaceae,Acalypha,benensis,Acalypha benensis,Britton ex Rusby,M. H. Nee,47065,1996,08,28,South America,Bolivia,"Santiesteban. 15.5 km (by road) N of Mineros, then 3.8 km E on dirt road.",-63.18,-16.98,NY00164654,M. H. Nee,1997,NA,Santa Cruz,NA,NA,NA,NA,Magnoliophyta,NA,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=657201' target='other'> <mi>dwc_moreinfo</mi></a>,NA,NA,NA,NA,1996-08-28
Acalypha benensis,,2,2022-12-05 17:19:00-03,NY,NY,164659,PreservedSpecimen,Plantae,NA,Malpighiales,Euphorbiaceae,Acalypha,benensis,Acalypha benensis,Britton ex Rusby,M. H. Nee,47056,1996,08,25,South America,Bolivia,"Vic. Estancia Maguey, 7 km NNW of Ayacucho [=Porongo] on road to Terevinto, 17 km (by air) west of center of Santa Cruz",-63.3417,-17.8,NY00164659,M. H. Nee,1996,NA,Santa Cruz,Andrés Ibáñez (Prov.),NA,NA,NA,Magnoliophyta,NA,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=653167' target='other'> <mi>dwc_moreinfo</mi></a>,NA,NA,NA,NA,1996-08-25
Acalypha benensis,,3,2022-12-05 17:19:00-03,NY,NY,246096,PreservedSpecimen,Plantae,NA,Malpighiales,Euphorbiaceae,Acalypha,benensis,Acalypha benensis,Britton ex Rusby,H. H. Rusby,1264,1886,08,NA,South America,Bolivia,Junction of Rivers Beni and Madre de Dios,-66.0886,-10.9903,NY00246096,NA,NA,NA,NA,NA,NA,NA,NA,Magnoliophyta,type,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=653169' target='other'> <mi>dwc_moreinfo</mi></a>,NA,NA,NA,NA,NA
Acalypha benensis,,4,2022-12-05 17:19:00-03,NY,NY,246097,PreservedSpecimen,Plantae,NA,Malpighiales,Euphorbiaceae,Acalypha,benensis,Acalypha benensis,Britton ex Rusby,H. H. Rusby,1264,1886,08,NA,South America,Bolivia,Junction of Rivers Beni and Madre de Dios,-66.0886,-10.9903,NY00246097,NA,NA,NA,NA,NA,NA,NA,NA,Magnoliophyta,type,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=653168' target='other'> <mi>dwc_moreinfo</mi></a>,NA,NA,NA,NA,NA
Acalypha benensis,,5,2022-12-05 17:19:00-03,NY,NY,312934,PreservedSpecimen,Plantae,NA,Malpighiales,Euphorbiaceae,Acalypha,benensis,Acalypha benensis,Britton ex Rusby,H. H. Rusby,1264,1886,08,NA,South America,Bolivia,Junction of Rivers Beni and Madre de Dios,-66.0886,-10.9903,NY00312934,NA,NA,NA,NA,NA,NA,NA,NA,Magnoliophyta,isotype,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=695927' target='other'> <mi>dwc_moreinfo</mi></a>,NA,NA,NA,NA,NA
Acalypha benensis,,6,2010-01-08 16:53:00-02,MO,MO,100240403,PreservedSpecimen,Plantae,NA,NA,Euphorbiaceae,Acalypha,benensis,Acalypha benensis,Britton ex Rusby,Pedro Acevedo-Rodríguez|F. Ramírez,Acevedo-Rodríguez 9943,1997,9,25,South America,Peru,Distrito Camisea; Campamento Malvinas.,-72.9411111,-11.87,NA,R. Secco,1997,NA,Cusco,Cusco,400.00000000,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997-09-25
Acalypha benensis,,7,2008-05-27 22:02:00-03,MO,MO,1323106,PreservedSpecimen,Plantae,NA,NA,Euphorbiaceae,Acalypha,benensis,Acalypha benensis,Britton ex Rusby,Sarah DeWalt,DeWalt 3,1998,12,15,South America,Bolivia,Cerca del rio tumupasa.,-67.88333,-14.15,NA,S. DeWalt,1995,NA,La Paz,Abel Iturralde,465.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998-12-15
Acalypha benensis,,8,2008-05-27 22:02:00-03,MO,MO,143417,PreservedSpecimen,Plantae,NA,NA,Euphorbiaceae,Acalypha,benensis,Acalypha benensis,Britton ex Rusby,Miguel Bang,Bang 217,1890,NA,NA,South America,Bolivia,Yungas.,-68.01,-15.75,NA,J.M. Cardiel (MA),1999,NA,La Paz,Nor Yungas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acalypha benensis,,9,2008-05-27 22:02:00-03,MO,MO,147338,PreservedSpecimen,Plantae,NA,NA,Euphorbiaceae,Acalypha,benensis,Acalypha benensis,Britton ex Rusby,Alwyn H. Gentry|et al.,Gentry 52116,1985,10,9,South America,Peru,Yurimaguas Estacion Experimental de North Carolina State; old second growth along Rio Shanusi.,-76.13333,-5.91666,NA,J.M. Cardiel (MA),1999,85-351,Loreto,Alto Amazonas,180.00000000,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985-10-09
Acalypha benensis,,10,2008-05-27 22:02:00-03,MO,MO,150409,PreservedSpecimen,Plantae,NA,NA,Euphorbiaceae,Acalypha,benensis,Acalypha benensis,Britton ex Rusby,Percy Núñez V.|C. Cárdenas|W. Duellman|B. Buchanan,Núñez Vargas 9937,1988,10,29,South America,Peru,"Alrededores del Albergue turístico Cusco Amazónico. Margen izquierdo del Río Madre de Dios, ca 35 km de Puerto Maldonado.",-69.05,-12.54,NA,O. Phillips,1989,16,Madre de Dios,Tambopata,200.00000000,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-10-29
Acalypha benensis,,11,2008-05-27 22:02:00-03,MO,MO,1535593,PreservedSpecimen,Plantae,NA,NA,Euphorbiaceae,Acalypha,benensis,Acalypha benensis,Britton ex Rusby,Michael H. Nee,Nee 45988,1994,12,17,South America,Bolivia,"6.5 km (by air) NW of main Colonia San Juan. Mostly flat, edge of disturbed tropical forest patch along edge of cultivated fields of rice and other crops.",-63.9,-17.25,NA,M. Nee,1995,NA,Santa Cruz,Ichilo,265.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1994-12-17
Acalypha benensis,,12,2020-06-17 08:17:00-03,MO,MO,156996,PreservedSpecimen,Plantae,NA,NA,Euphorbiaceae,Acalypha,benensis,Acalypha benensis,Britton ex Rusby,James C. Solomon,Solomon 8523,1982,10,19,South America,Bolivia,"4.5 km below Yolosa, then 10.0 km W on road up the Río Huarinilla. Heavily disturbed moist forest. Mostly secondary growth.",-67.8333333,-16.2,NA,G. Webster,1984,82-23,La Paz,Nor Yungas,1450.00000000,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982-10-19
Acalypha benensis,,13,2008-05-27 22:02:00-03,MO,MO,1719470,PreservedSpecimen,Plantae,NA,NA,Euphorbiaceae,Acalypha,benensis,Acalypha benensis,Britton ex Rusby,Israel G. Vargas C.|M. Contreras,Vargas Caballero 5084,2000,8,5,South America,Bolivia,"Volcanes, 3 km al N de Bermejo, subiendo por márgenes del Río Colorado. Márgenes areno-pedregoso del Río Colorado.",-63.65,-18.1,NA,NA,NA,NA,Santa Cruz,Florida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000-08-05
Acalypha benensis,,14,2008-08-07 03:32:00-03,MO,MO,1869507,PreservedSpecimen,Plantae,NA,NA,Euphorbiaceae,Acalypha,benensis,Acalypha benensis,Britton ex Rusby,Lourdes Vargas|A. Portugal|J. Torrez,Vargas Ramírez 1334,1995,10,15,South America,Bolivia,"Madidi camino a Ixiamas 1 hora y 45 minutos de Tumupasa en carro, sobre el arroyo Huri-Huapo.",-67.91666,-14.05,NA,L. Vargas,1997,NA,La Paz,Abel Iturralde,365.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995-10-15
Acalypha benensis,,15,2008-05-27 22:02:00-03,MO,MO,2117644,PreservedSpecimen,Plantae,NA,NA,Euphorbiaceae,Acalypha,benensis,Acalypha benensis,Britton ex Rusby,John D. Dwyer,Dwyer 6241,1964,8,3,South America,Peru,"Tingo Maria, roadsides.",-75.98333,-9.3,NA,NA,NA,4,Huánuco,Leoncio Prado,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1964-08-03
Acalypha benensis,,16,2008-08-07 03:32:00-03,MO,MO,2916836,PreservedSpecimen,Plantae,NA,NA,Euphorbiaceae,Acalypha,benensis,Acalypha benensis,Britton ex Rusby,Lourdes Vargas|A. Portugal|J. Torrez,Vargas Ramírez 1334,1995,10,15,South America,Bolivia,"Abel Ituralde, Madidi camino a Ixiamas 1 hora y 45 minutos de Tumupasa en carro., sobre el arroyo Huri-Huapo.",-67.91666,-14.05,NA,L. Vargas,1997,NA,La Paz,NA,365.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995-10-15
Acalypha benensis,,17,2008-05-27 22:02:00-03,MO,MO,2924255,PreservedSpecimen,Plantae,NA,NA,Euphorbiaceae,Acalypha,benensis,Acalypha benensis,Britton ex Rusby,Michael H. Nee,Nee 47578,1997,12,26,South America,Bolivia,"On the Montero-Okinawa hwy., 14 km ENE from hwy . junction just N of Montero.Brushy areas and disturbed woods along channel.",-63.15,-17.28333,NA,M. Nee,1999,NA,Santa Cruz,NA,275.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997-12-26
Acalypha benensis,,18,2008-07-16 03:33:00-03,MO,MO,1236902,PreservedSpecimen,Plantae,NA,NA,Euphorbiaceae,Acalypha,benensis,Acalypha benensis,Britton ex Rusby,F. Cornejo|A. Balarezo,Cornejo Valverde 3294,1997,10,17,South America,Peru,Isla sobre el Río Colorado.,-70.95,-12.85,NA,Fernando Cornejo,1998,66,Cusco,Quispicanchis,350.00000000,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997-10-17
Acalypha benensis,,19,2008-05-27 22:02:00-03,MO,MO,1862371,PreservedSpecimen,Plantae,NA,NA,Euphorbiaceae,Acalypha,benensis,Acalypha benensis,Britton ex Rusby,Alcides Serato,Serato 228,1997,1,6,South America,Bolivia,"Loc.: Buena Vista Tacana, a 500 m de la comunidad de Buena Vista. Monte degradado",-67.5,-14.41666,NA,NA,NA,NA,La Paz,Abel Iturralde,180.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997-01-06
Acalypha benensis,,20,2013-05-02 17:01:00-03,MO,MO,155876,PreservedSpecimen,Plantae,NA,NA,Euphorbiaceae,Acalypha,benensis,Acalypha benensis,Britton ex Rusby,David N. Smith|G. Quintana|Valentín García,Smith 13176,1989,5,17,South America,Bolivia,"Serrania del Pilón Lajas, vertiente oriental, 21 km de Yucumo. Bosque primario en laderas pendientes intervenido por una carretera. Colecciones del bosque y el derecho de la carretera. Especimenes preservados con alcohol.",-67.0666667,-15.2833333,NA,D.N. Smith (MO),1991,30,Beni,Gral. Ballivian,1035.00000000,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989-05-17
Acalypha benensis,,21,2022-01-17 14:11:48-03,INPA,INPA,22451,S,Plantae,NA,Malpighiales,Euphorbiaceae,Acalypha,benensis,Acalypha benensis,Britton,"Prance, GT",5694,1968,07,09,Southern America,Bolivia,"W bank of Rio Madeira opposite Abunã, W bank of Rio Madeira opposite Abunã.",-65.292939,-9.780448,INPA0022451,"Webster, GL",1986,NA,Pando,NA,NA,NA,NA,Dicotyledon Com-Clade,NA,NA,"Shrub, to 3 m tall. Forest on terra firme.",-65.292939,-9.780448,NA,NA,1968-07-09
Acalypha benensis,,22,2019-07-09 13:30:22-03,F,F-SEEDPLANTS,V0088478F,PreservedSpecimen,Plantae,Dicotyledoneae,NA,Euphorbiaceae,Acalypha,benensis,Acalypha benensis,NA,J. Schunke V. & J. G. Graham,15868,2004,9,9,South America,Peru,Cuenca del Rio Aguaytia. Pampa Yurac,-75.5,-9.05,V0088478F,J. M. Cardiel,2009,NA,Ucayali,Padre Abad,300,NA,NA,Spermatophyta,NA,NA,NA,NA,NA,NA,NA,2004-09-09
Acalypha benensis,,23,2019-07-09 13:23:38-03,F,F-SEEDPLANTS,V0189267F,PreservedSpecimen,Plantae,Dicotyledoneae,NA,Euphorbiaceae,Acalypha,benensis,Acalypha benensis,NA,R. de Michel & S. G. Beck,1130,1993,9,15,South America,Bolivia,NA,-64.435,-16.7261,V0189267F,NA,NA,NA,NA,NA,NA,NA,NA,Spermatophyta,NA,NA,NA,NA,NA,NA,NA,1993-09-15
Acalypha benensis,,24,2021-07-31 07:12:00-03,US,US,US 3359442,PreservedSpecimen,Plantae,Dicotyledonae,Euphorbiales,Euphorbiaceae,Acalypha,benensis,Acalypha benensis,Britton,P. Acevedo-Rodriguez & F. Ramirez,9943,1997,9,25,South America - Neotropics,Peru,Distrito Camisea; Campamento Malvinas,-72.9411,-11.87,US00617053,"Seco, R.",NA,NA,Cusco,Cusco,400.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997-09-25
Acalypha tenuifolia,,1,2008-05-27 22:02:00-03,MO,MO,148037,PreservedSpecimen,Plantae,NA,NA,Euphorbiaceae,Acalypha,tenuifolia,Acalypha tenuifolia,Müll. Arg.,Ronald L. Liesner|Vilealdo Medina,Liesner 13454,1982,4,6,South America,Venezuela,"32 km East of La Guaira, 4 km East of Anare. From coast, to about 3 km inland along quebrada. Steep slopes and some rock outcrops.",-66.65,10.63333,NA,Ronald Liesner (MO),1993,82-4,Distrito Federal,NA,0E8,3,150.00000000,NA,NA,NA,NA,NA,NA,NA,NA,1982-04-06
Acalypha tenuifolia,,2,2009-07-17 07:37:00-03,MO,MO,2915929,PreservedSpecimen,Plantae,NA,NA,Euphorbiaceae,Acalypha,tenuifolia,Acalypha tenuifolia,Müll. Arg.,Julian A. Steyermark|Ronald L. Liesner,Steyermark 121794,1980,3,24,South America,Venezuela,"Gallery forest along Quebrada Coche, 3 km northeast of Pie de Cerro, north of La Victoria.",-67.3,10.33333,NA,J.M. Cardiel,1999,NA,Aragua,NA,840.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1980-03-24
Acalypha tenuifolia,,3,2008-05-27 22:02:00-03,MO,MO,2916105,PreservedSpecimen,Plantae,NA,NA,Euphorbiaceae,Acalypha,tenuifolia,Acalypha tenuifolia,Müll. Arg.,Julian A. Steyermark,Steyermark 123545,1980,10,8,South America,Venezuela,"Selva de galería a lo largo de la Quebrada Manzanares, rizchuelo con agua corriente, afluente de la Quebrada Baruta, arriba de la Urb. Alto Prado.",-66.88333,10.43333,NA,J.M. Cardiel,1999,NA,Miranda,NA,1300.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1980-10-08
Acalypha tenuifolia,,4,2019-09-04 20:32:08-03,F,F-SEEDPLANTS,NA,PreservedSpecimen,Plantae,Dicotyledoneae,NA,Euphorbiaceae,Acalypha,tenuifolia,Acalypha tenuifolia,NA,J. W. K. Moritz,379,NA,NA,NA,South America,Colombia,NA,-72.8667,3.8811,NA,NA,NA,NA,NA,NA,NA,NA,NA,Spermatophyta,Type [status unknown],NA,NA,NA,NA,NA,NA,NA
Acalypha tenuifolia,,5,2019-07-09 13:23:50-03,F,F-SEEDPLANTS,V0190396F,PreservedSpecimen,Plantae,Dicotyledoneae,NA,Euphorbiaceae,Acalypha,tenuifolia,Acalypha tenuifolia,NA,H. F. A. von Eggers,13320,1891,7,9,South America,Venezuela,NA,-65.9119,7.0758,V0190396F,NA,NA,NA,NA,NA,NA,NA,NA,Spermatophyta,NA,NA,NA,NA,NA,NA,NA,1891-07-09
Acalypha tenuifolia,,6,2019-07-09 13:23:51-03,F,F-SEEDPLANTS,V0190402F,PreservedSpecimen,Plantae,Dicotyledoneae,NA,Euphorbiaceae,Acalypha,tenuifolia,Acalypha tenuifolia,NA,J. A. Steyermark & R. L. Liesner,121794,1980,3,24,South America,Venezuela,NA,-65.9119,7.0758,V0190402F,NA,NA,NA,NA,NA,NA,NA,NA,Spermatophyta,NA,NA,NA,NA,NA,NA,NA,1980-03-24
Acalypha tenuifolia,,7,2021-07-30 13:22:00-03,US,US,US 2501353,PreservedSpecimen,Plantae,Dicotyledonae,Euphorbiales,Euphorbiaceae,Acalypha,tenuifolia,Acalypha tenuifolia,Müll. Arg.,A. Mocquerys,s.n.,1893,NA,NA,South America - Neotropics,Venezuela,Duaca,-69.1624,10.2855,US00814461,NA,NA,NA,Lara,Crespo,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acalypha wilkesiana,,1,2020-05-27 04:37:00-03,MO,MO,2917267,PreservedSpecimen,Plantae,NA,NA,Euphorbiaceae,Acalypha,wilkesiana,Acalypha wilkesiana,Müll. Arg.,Moises Mendoza,Mendoza 167,2002,3,2,South America,Bolivia,"santa Cruz. Ciudad de Santa Cruz, radial 27, calle rió negro, pasando tres cuadras del cuarto anillo, Vivero Carlitos.",-63.17138,-21.87805,NA,M. Mendoza y R. Ledezma,2002,NA,Santa Cruz,Andrés Ibáñez,612.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002-03-02
Acalypha wilkesiana,,2,2019-09-16 15:44:18-03,F,F-SEEDPLANTS,V0195185F,PreservedSpecimen,Plantae,Dicotyledoneae,NA,Euphorbiaceae,Acalypha,wilkesiana,Acalypha wilkesiana,NA,J. Schunke V.,1941,1967,5,8,South America,Peru,NA,-75.8333,-9.5,V0195185F,RRC ID Flag,2013,1941,Huánuco,NA,NA,NA,NA,Spermatophyta,NA,NA,NA,NA,NA,NA,NA,1967-05-08
Acer negundo,,1,2008-05-27 22:02:00-03,MO,MO,166673,PreservedSpecimen,Plantae,NA,NA,Sapindaceae,Acer,negundo,Acer negundo,L.,James C. Solomon,Solomon 8200,1982,9,10,South America,Bolivia,Calacoto (La Paz). Cultivated garden plants.,-68.08333,-16.53333,NA,J. Solomon,1982,82-9,La Paz,Murillo,3300.00000000,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982-09-10
Acer negundo,,2,2008-05-27 22:02:00-03,MO,MO,1532607,PreservedSpecimen,Plantae,NA,NA,Sapindaceae,Acer,negundo,Acer negundo,L.,Michael H. Nee,Nee 30394,1984,11,17,South America,Bolivia,City of Cochabamba,-66.630278,-17.136667,NA,M. Nee,NA,NA,Cochabamba,NA,2550.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984-11-17
Acer negundo,,3,2013-02-13 05:33:00-02,MO,MO,1598006,PreservedSpecimen,Plantae,NA,NA,Sapindaceae,Acer,negundo,Acer negundo,L.,Mario Saldias P.,Saldias Paz 590,1989,1,9,South America,Bolivia,"Centro de la ciudad de La Paz, Av. 16 de Julio",-68.08333,-16.5,NA,M. Nee (NY),1989,NA,La Paz,Murillo,3400.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989-01-09
Acer negundo,,4,2008-05-27 22:02:00-03,MO,MO,166686,PreservedSpecimen,Plantae,NA,NA,Sapindaceae,Acer,negundo,Acer negundo,L.,James C. Solomon,Solomon 12797,1984,11,16,South America,Bolivia,Calacoto (La Paz). Cultivated plants.,-68.08333,-16.53333,NA,J. C. Solomon (MO),1988,84-117,La Paz,Murillo,3300.00000000,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984-11-16
Acer negundo,,5,2008-05-27 22:02:00-03,MO,MO,3081095,PreservedSpecimen,Plantae,NA,NA,Sapindaceae,Acer,negundo,Acer negundo,L.,Calaway H. Dodson,Dodson 11701,1981,10,9,South America,Ecuador,"Chullabamba, 11 km N of Cuenca in the Cuenca valley near the river. At the country estate of Marcelo Jaramillo.",-78.93333,-2.25,NA,Al Gentry,1982,154,Azuay,NA,2350.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1981-10-09
Acer saccharinum,,1,2008-05-27 22:02:00-03,MO,MO,166698,PreservedSpecimen,Plantae,NA,NA,Sapindaceae,Acer,saccharinum,Acer saccharinum,L.,James C. Solomon|R. Zeballos,Solomon 15436,1986,7,23,South America,Bolivia,La Paz. ORNAMENTAL PLANTS.,-68.13333,-16.51666,NA,J. C. Solomon,1986,86-39,La Paz,Murillo,3600.00000000,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986-07-23
Actinostemon caribaeus,,1,2019-07-09 13:28:31-03,F,F-SEEDPLANTS,V0190751F,PreservedSpecimen,Plantae,Dicotyledoneae,NA,Euphorbiaceae,Actinostemon,caribaeus,Actinostemon caribaeus,NA,J. A. Steyermark,56858,1944,5,29,South America,Venezuela,NA,-65.9119,7.0758,V0190751F,NA,NA,NA,NA,NA,NA,NA,NA,Spermatophyta,NA,NA,NA,NA,NA,NA,NA,1944-05-29
